;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26487;26487;AHUMADA,ARTURO;COCOLO   ;SOLICITANDO MIN.ECO. INFORME SOBRE LAS RESPONSABILIDADES DELESTADO RESPECTO A LA SITUACION DE LA COOPERATIVAVITIVINIFRUTICOLA LA DORMIDAD LTDA.;CD;R ;PJ;08/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26488;26488;AHUMADA,ARTURO;   ;SOLICITANDO PTE. E.P.A.S. CONCURRA A COMISION DE SEG.PRI.OBR.SAN.MZA. E INFORMEN SOBRE MODIFICACIONES INTRODUCIDASPOR LA EMPRESA EN LA MODALIDAD DE COBRO DE FACTURACION;CD;R ;PJ;08/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26494;26494;AHUMADA,ARTURO;   ;ESTABLECIENDO QUE LOS MUNICIPIOS PODRAN AUSPICIAR,DESARROLLAR Y FINANCIAR PROGRAMAS SOCIALES DE VIVIENDA EINFRAESTRUCTURA DE OBRAS PUBLICAS;CD;L ;PJ;08/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26555;26555;AHUMADA,ARTURO;GONZALEZ FER   ;SOLICITANDO COM.BIC.SEG.PRI.O.S.M. CONVOQUE AL SUPERINTENDENGRAL IRRIGACION A FIN DE INFORMAR SOBRE EL VUELCO DE EFLUENTAL RIO MENDOZA POR PARTE DE LA PLANTA PARAMILLOS;CD;R ;PJ;16/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26556;26556;AHUMADA,ARTURO;GONZALEZ FER   ;SOLICITANDO COM.BIC.SEG.PRI.O.S.M. CONVOQUE AL PTE. E.P.A.S.A FIN DE INFORMAR SOBRE EL VUELCO DE EFLUENTE AL RIO MZA.POR PARTE DE LA PLANTA PARAMILLOS;CD;R ;PJ;16/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26577;26577;AHUMADA,ARTURO;   ;QUE EL INTENDENTE DE CAPITAL IMPLEMENTE LA HABILITACION DELOS CRUCES PEATONALES TRANSVERSALES A LAS VIAS DEL FERROCARRIL;CD;D ;PJ;18/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26587;26587;AHUMADA,ARTURO;GIARRIZZO   ;SOLICITANDO D.P.V. INFORME SOBRE EL PROYECTO DE EJECUCION DELOS ANILLOS I Y II DEL AREA METROPOLITANA;CD;R ;PJ;22/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26628;26628;AHUMADA,ARTURO;   ;MANIFESTANDO AL DIRECTORIO DE EPAS EL BENEPLACITO POR ELORDENAMIENTO E INICIO DE SOLUCION PARA LA CONCRECION DE LAPLANTA DE LIQUIDOS CLOACALES DEL ALGARROBAL;CD;R ;PJ;28/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26686;26686;AHUMADA,ARTURO;   ;SOLICITANDO AL PE INFORME SOBRE LA PLANTA DE TRATAMIENTO DELIQUIDOS CLOACALES DE EL ALGARROBAL;CD;R ;PJ;04/09/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26800;26800;AHUMADA,ARTURO;   ;SOLICITANDO EPAS INFORME SOBRE CONTROLES DE LOS LIQUIDOSEFLUENTES DE LAS PLANTAS DE TRATAMIENTO DE LIQUIDOSCLOACALES DE LA PROVINCIA;CD;R ;PJ;19/09/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26830;26830;AHUMADA,ARTURO;   ;INVITANDO MIN.AMB.O.P. A REUNION DE COMISIONES A FIN DE QUEINFORME SOBRE EXPLOTACION PETROLERA DE LA EMPRESA REPSOL-YPFEN LA RESERVA DE LLANCANELO;CD;R ;PJ;22/09/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27050;27050;AHUMADA,ARTURO;   ;SOLICITANDO MIN.AMB.O.P. GESTIONE A FIN DE ENCONTRAR UNASOLUCION TECNICO-FINANCIERA A LOS PROBLEMAS DE LA INDUSTRIAELECTROINTENSIVA STEIN-STI ARSA;CD;R ;PJ;24/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27356;27356;AHUMADA,ARTURO;COCOLO CORDOBA  ;INSTITUYENDO COMO ENTIDAD NO ESTATAL EL "MERCADO CONSIGNATARIO DE VINOS DE MENDOZA";CD;L ;PJ;11/12/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27375;27375;AHUMADA,ARTURO;CORDOBA COCOLO  ;INSTITUYENDO COMO ENTIDAD PUBLICA NO ESTATAL EL "MERCADOCONSIGNATARIO DE VINOS DE MENDOZA";CD;R ;PJ;12/12/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27362;27362;AHUMADA,ARTURO;   ;DISTINGUIENDO AL DR. ABEL PASCUAL ALBINO BENACAR, DESTACADOPEDIATRA, POR HABER SIDO MERECEDOR DEL PREMIO "HIPOCRATES"2000;CD;R ;PJ;12/12/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27587;27587;AHUMADA,ARTURO;SERRALTA   ;INVITANDO MIN.HAC. A CONCURRIR A COMISION L.P. A FIN DE QUEINFORME SOBRE LA DEUDA QUE MANTIENE EL ESTADO CON LA OSEP;CD;R ;PJ;29/01/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27649;27649;AHUMADA,ARTURO;   ;SOLICITANDO PE INFORME SOBRE REGLAMENTACION PARA TODAS LASJURISDICCIONES DE LA ADMINISTRACION CENTRAL, SEGUN ART. 17LEY PRESUPUESTO (RITMO DEL GASTO);CD;R ;PJ;12/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27654;27654;AHUMADA,ARTURO;PERE BOTTI SERRALTA  ;DEROGANDO LEY 4418 EN LO QUE HACE A LAS FUNCIONES DEL FISCALADJUNTO DE INVESTIGACIONES Y CREANDO LA FISCALIA DE INVESTI-GACIONES ADMINISTRATIVAS;CD;L ;PJ;12/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27681;27681;AHUMADA,ARTURO;   ;SOLICITANDO AL DIRECTOR DE OSEP INFORME SOBRE LA DECISIONDE CENTRALIZAR LOS LABORATORIOS DEL HOSPITAL DEL CARMEN;CD;R ;PJ;15/02/2001
